Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1575,tt1462667,2026-09-06,2026-09-06,,"Outrage","Autoreiji",https://www.imdb.com/title/tt1462667/,Film,6.8,109,2010,"Azione, Poliziesco, Drammatico, Thriller",15759,2010-06-12,"Takeshi Kitano",,
1576,tt0108188,2026-09-06,2026-09-06,,"Sonatine","Sonachine",https://www.imdb.com/title/tt0108188/,Film,7.4,94,1993,"Azione, Commedia, Poliziesco, Drammatico, Sentimentale, Thriller",24390,2000-06-16,"Takeshi Kitano",,
1577,tt2708764,2026-09-06,2026-09-06,,"HK: Hentai Kamen","HK: Hentai Kamen",https://www.imdb.com/title/tt2708764/,Film,5.8,106,2013,"Azione, Commedia, Fantastico",3018,2013-04-13,"Yūichi Fukuda",,
1578,tt5492906,2026-09-06,2026-09-06,,"HK: Hentai Kamen - Abnormal Crisis","HK: Hentai Kamen - Abnormal Crisis",https://www.imdb.com/title/tt5492906/,Film,5.5,119,2016,"Azione, Commedia, Fantastico",1177,2016-05-14,"Yūichi Fukuda",,
1579,tt1305562,2026-09-06,2026-09-06,,"Psychoville","Psychoville",https://www.imdb.com/title/tt1305562/,Serie TV,7.9,30,2009,"Commedia, Horror, Giallo",7912,2010-04-12,,,
1580,tt0358856,2026-09-06,2026-09-06,,"Little Britain","Little Britain",https://www.imdb.com/title/tt0358856/,Serie TV,7.7,29,2003,"Commedia",28393,2004-11-10,,,
1581,tt0095989,2026-09-06,2026-09-06,,"Il ritorno dei pomodori assassini","Return of the Killer Tomatoes!",https://www.imdb.com/title/tt0095989/,Film,5.3,98,1988,"Commedia, Horror, Fantascienza",8332,1988-04-22,"John De Bello",,
1582,tt0098967,2026-09-06,2026-09-06,,"Boiling Point","3-4 x jûgatsu",https://www.imdb.com/title/tt0098967/,Film,6.8,96,1990,"Azione, Commedia, Poliziesco, Drammatico, Thriller",8228,1990-09-15,"Takeshi Kitano",,
1583,tt0098360,2026-09-06,2026-09-06,,"Violent Cop","Sono otoko, kyôbô ni tsuki",https://www.imdb.com/title/tt0098360/,Film,7.1,103,1989,"Azione, Poliziesco, Drammatico, Thriller",14331,1989-08-12,"Takeshi Kitano",,
1584,tt0997147,2026-09-06,2026-09-06,,"Dai-Nihonjin","Dai-Nihonjin",https://www.imdb.com/title/tt0997147/,Film,6.2,113,2007,"Azione, Commedia, Fantascienza",4174,2007-06-02,"Hitoshi Matsumoto",,
1585,tt0096251,2026-09-06,2026-09-06,,"Tetsuo","Tetsuo",https://www.imdb.com/title/tt0096251/,Film,6.9,67,1989,"Horror, Fantascienza",29517,1989-07-01,"Shin'ya Tsukamoto",,
1586,tt0852726,2026-09-06,2026-09-06,,"Nightmare Detective","Akumu tantei",https://www.imdb.com/title/tt0852726/,Film,6.0,106,2006,"Poliziesco, Horror, Giallo, Thriller",2957,2007-01-13,"Shin'ya Tsukamoto",,
1587,tt1056107,2026-09-06,2026-09-06,,"Nightmare Detective 2","Akumu tantei 2",https://www.imdb.com/title/tt1056107/,Film,6.1,102,2008,"Drammatico, Horror",818,2008-12-20,"Shin'ya Tsukamoto",,
1588,tt0095715,2026-09-06,2026-09-06,,"Alice","Neco z Alenky",https://www.imdb.com/title/tt0095715/,Film,7.4,86,1988,"Animazione, Avventura, Per famiglie, Fantastico",15348,1990-11-01,"Jan Švankmajer",,
1589,tt0118843,2026-09-06,2026-09-06,,"Gatto nero, gatto bianco","Crna macka, beli macor",https://www.imdb.com/title/tt0118843/,Film,8.0,127,1998,"Commedia, Poliziesco, Sentimentale",59242,1998-11-06,"Emir Kusturica",,
1590,tt0069048,2026-09-06,2026-09-06,,"Gli orrori del castello di Norimberga","Gli orrori del castello di Norimberga",https://www.imdb.com/title/tt0069048/,Film,5.9,98,1972,"Horror",4813,1972-10-27,"Mario Bava",,
1591,tt0081455,2026-09-06,2026-09-06,,"Scanners","Scanners",https://www.imdb.com/title/tt0081455/,Film,6.7,103,1981,"Horror, Fantascienza, Thriller",68421,1981-01-16,"David Cronenberg",,
1592,tt0078908,2026-09-06,2026-09-06,,"Brood - La covata malefica","The Brood",https://www.imdb.com/title/tt0078908/,Film,6.8,92,1979,"Horror, Fantascienza",38543,1980-06-04,"David Cronenberg",,
1593,tt3775086,2026-09-06,2026-09-06,,"Lo chiamavano Jeeg Robot","Lo chiamavano Jeeg Robot",https://www.imdb.com/title/tt3775086/,Film,7.0,112,2015,"Azione, Commedia, Drammatico, Fantascienza",17730,2016-02-25,"Gabriele Mainetti",,
1594,tt1489889,2026-09-06,2026-09-06,,"Una spia e mezzo","Central Intelligence",https://www.imdb.com/title/tt1489889/,Film,6.3,107,2016,"Azione, Commedia, Poliziesco",242492,2016-07-14,"Rawson Marshall Thurber",,
1595,tt0080678,2026-09-06,2026-09-06,,"The Elephant Man","The Elephant Man",https://www.imdb.com/title/tt0080678/,Film,8.2,124,1980,"Biografico, Drammatico",284416,1981-03-06,"David Lynch",,
1596,tt0765443,2026-09-06,2026-09-06,,"La promessa dell'assassino","Eastern Promises",https://www.imdb.com/title/tt0765443/,Film,7.6,100,2007,"Poliziesco, Drammatico, Thriller",279789,2007-12-14,"David Cronenberg",,
1597,tt1860213,2026-09-06,2026-09-06,,"Nonno scatenato","Dirty Grandpa",https://www.imdb.com/title/tt1860213/,Film,5.9,102,2016,"Commedia",143424,2016-04-13,"Dan Mazer",,
1598,tt1711425,2026-09-06,2026-09-06,,"Un compleanno da leoni","21 & Over",https://www.imdb.com/title/tt1711425/,Film,5.8,93,2013,"Commedia",80343,2014-01-09,"Jon Lucas, Scott Moore",,
1599,tt5500218,2026-09-06,2026-09-06,,"Samaritan","Samaritan",https://www.imdb.com/title/tt5500218/,Film,5.7,102,2022,"Azione, Drammatico, Fantastico, Fantascienza",62212,2022-08-26,"Julius Avery",,
1600,tt0116225,2026-09-06,2026-09-06,,"Fuga da Los Angeles","Escape from L.A.",https://www.imdb.com/title/tt0116225/,Film,5.7,101,1996,"Azione, Avventura, Fantascienza, Thriller",86891,1997-01-10,"John Carpenter",,
1601,tt0264263,2026-09-06,2026-09-06,,"Jackass","Jackass",https://www.imdb.com/title/tt0264263/,Serie TV,7.4,30,2000,"Azione, Commedia, Reality",29891,2000-10-01,,,
1602,tt0322802,2026-09-06,2026-09-06,,"Jackass: The Movie","Jackass: The Movie",https://www.imdb.com/title/tt0322802/,Film,6.6,85,2002,"Documentario, Azione, Commedia",107632,2002-10-25,"Jeff Tremaine",,
1603,tt3063516,2026-09-06,2026-09-06,,"Jackass - Nonno cattivo","Bad Grandpa",https://www.imdb.com/title/tt3063516/,Film,6.5,92,2013,"Commedia",101416,2013-10-25,"Jeff Tremaine",,
1604,tt0493430,2026-09-06,2026-09-06,,"Jackass Number Two","Jackass Number Two",https://www.imdb.com/title/tt0493430/,Film,7.0,92,2006,"Documentario, Azione, Commedia",84531,2023-09-01,"Jeff Tremaine",,
1605,tt1116184,2026-09-06,2026-09-06,,"Jackass 3D","Jackass 3D",https://www.imdb.com/title/tt1116184/,Film,7.0,94,2010,"Documentario, Azione, Commedia",71697,2010-12-03,"Jeff Tremaine",,
1606,tt11466222,2026-09-06,2026-09-06,,"Jackass Forever","Jackass Forever",https://www.imdb.com/title/tt11466222/,Film,6.8,96,2022,"Documentario, Commedia",56228,2022-03-10,"Jeff Tremaine",,
1607,tt18258584,2026-09-06,2026-09-06,,"Jackass 4.5","Jackass 4.5",https://www.imdb.com/title/tt18258584/,Video,6.5,90,2022,"Documentario, Commedia",16192,2022-05-20,"Jeff Tremaine",,
1608,tt9684220,2026-09-06,2026-09-06,,"Bad Trip","Bad Trip",https://www.imdb.com/title/tt9684220/,Film,6.5,86,2021,"Commedia",29463,2021-03-26,"Kitao Sakurai",,
1609,tt0082418,2026-09-06,2026-09-06,,"L'assassino ti siede accanto","Friday the 13th: Part 2",https://www.imdb.com/title/tt0082418/,Film,6.1,87,1981,"Horror, Giallo, Thriller",88765,1981-05-01,"Steve Miner",,
1610,tt0171363,2026-09-06,2026-09-06,,"Haunting - Presenze","The Haunting",https://www.imdb.com/title/tt0171363/,Film,5.1,113,1999,"Fantastico, Horror, Giallo, Thriller",85290,1999-10-22,"Jan de Bont",,
1611,tt0815245,2026-09-06,2026-09-06,,"The Uninvited","The Uninvited",https://www.imdb.com/title/tt0815245/,Film,6.3,87,2009,"Drammatico, Fantastico, Horror, Giallo, Thriller",90234,2009-05-29,"Charles Guard, Thomas Guard",,
1612,tt7547410,2026-09-06,2026-09-06,,"Dora e la città perduta","Dora and the Lost City of Gold",https://www.imdb.com/title/tt7547410/,Film,6.1,102,2019,"Azione, Avventura, Commedia, Per famiglie, Fantastico, Giallo",39846,2019-09-26,"James Bobin",,
1613,tt15005868,2026-09-06,2026-09-06,,"South Park: Post Covid","South Park: Post COVID",https://www.imdb.com/title/tt15005868/,Speciale TV,7.5,57,2021,"Animazione, Commedia",13820,2021-11-25,"Trey Parker",,
1614,tt15783698,2026-09-06,2026-09-06,,"South Park: The Streaming Wars","South Park: The Streaming Wars",https://www.imdb.com/title/tt15783698/,Speciale TV,6.8,48,2022,"Animazione, Commedia",6898,2022-06-01,"Trey Parker",,
1615,tt16375288,2026-09-06,2026-09-06,,"South Park: Post COVID: The Return of COVID","South Park: Post COVID: The Return of COVID",https://www.imdb.com/title/tt16375288/,Speciale TV,7.5,62,2021,"Animazione, Commedia",9583,2021-12-16,"Trey Parker",,
1616,tt21394322,2026-09-06,2026-09-06,,"South Park: The 25th Anniversary Concert","South Park: The 25th Anniversary Concert",https://www.imdb.com/title/tt21394322/,Speciale TV,7.8,99,2022,"Documentario, Animazione, Commedia, Musica",1396,2022-08-13,"Alex Coletti",,
1617,tt29474455,2026-09-06,2026-09-06,,"South Park: Joining the Panderverse","South Park: Joining the Panderverse",https://www.imdb.com/title/tt29474455/,Speciale TV,7.8,48,2023,"Animazione, Commedia, Fantastico",14016,2023-10-27,"Trey Parker",,
1618,tt30505159,2026-09-06,2026-09-06,,"South Park (Not Suitable for Children)","South Park (Not Suitable for Children)",https://www.imdb.com/title/tt30505159/,Speciale TV,7.2,46,2023,"Animazione, Commedia",6917,2023-12-20,"Trey Parker",,
1619,tt21198156,2026-09-06,2026-09-06,,"South Park: The Streaming Wars Part 2","South Park: The Streaming Wars Part 2",https://www.imdb.com/title/tt21198156/,Speciale TV,6.7,51,2022,"Animazione, Commedia",4681,2022-07-13,"Trey Parker",,
1620,tt0125454,2026-09-06,2026-09-06,,"Paulie - Il pappagallo che parlava troppo","Paulie",https://www.imdb.com/title/tt0125454/,Film,6.6,91,1998,"Avventura, Commedia, Drammatico, Per famiglie",17650,1998-09-04,"John Roberts",,
1621,tt0119715,2026-09-06,2026-09-06,,"Un topolino sotto sfratto","Mousehunt",https://www.imdb.com/title/tt0119715/,Film,6.5,98,1997,"Commedia",64256,1998-04-03,"Gore Verbinski",,
1622,tt0457510,2026-09-06,2026-09-06,,"Super Nacho","Nacho Libre",https://www.imdb.com/title/tt0457510/,Film,6.0,92,2006,"Commedia, Per famiglie, Sportivo",103752,2006-11-17,"Jared Hess",,
1623,tt1764234,2026-09-06,2026-09-06,,"Cogan - Killing Them Softly","Killing Them Softly",https://www.imdb.com/title/tt1764234/,Film,6.2,97,2012,"Poliziesco, Drammatico, Thriller",161727,2012-10-18,"Andrew Dominik",,
1624,tt8114980,2026-09-06,2026-09-06,,"Willy's Wonderland","Willy's Wonderland",https://www.imdb.com/title/tt8114980/,Film,5.5,88,2021,"Azione, Commedia, Horror, Thriller",45059,2021-02-12,"Kevin Lewis",,
1625,tt5886046,2026-09-06,2026-09-06,,"Escape Room","Escape Room",https://www.imdb.com/title/tt5886046/,Film,6.4,99,2019,"Azione, Avventura, Horror, Giallo, Fantascienza, Thriller",162222,2019-03-14,"Adam Robitel",,
1626,tt0838283,2026-09-06,2026-09-06,,"Fratellastri a 40 anni","Step Brothers",https://www.imdb.com/title/tt0838283/,Film,6.9,98,2008,"Commedia",344985,2008-10-24,"Adam McKay",,
1627,tt0087538,2026-09-06,2026-09-06,,"The Karate Kid - Per vincere domani","The Karate Kid",https://www.imdb.com/title/tt0087538/,Film,7.4,126,1984,"Azione, Drammatico, Per famiglie, Sportivo",274670,1984-10-25,"John G. Avildsen",,
